StudyID,GroupID,ExperimentID,EffectID,Author,Year,Journal,SpeciesCom,SpeciesSci,Class,WildLabRear,WildLabExp,Sex,ManipLifeStage,ManipLifeStage+,ManipType,ManipDirection,ManipDuration,ManipOffset,ManipPostDiet,ManipConditionEffect,ManipGroups,ManipNotes,ExpLifeStage,ExpAge,ExpType,ExpVar,RiskContext,ExpVarUnit,ExpRepeated,ExpNotes,nLC,meanLC,sdLC,seLC,CILC,nHC,meanHC,sdHC,seHC,CIHC,TestStatType,TestStatValue,df,P,SharedGroup,SharedN,Sharedmean,Sharedsd,RiskEffectDirection,Marginalised,DataLocation,DataPresentation,Exclude,ExclusionReason,Extraction notes
CD171,EG040,EX045,ES0280,Dowling,2002,Canadian Journal of Zoology,banded killifish,Fundulus diaphanus,ray-finned fish,wild,lab,unknown,unknown/mixed,three different size classes (small: 35.0 ± 0.4 mm total length (mean ± SE); medium: 65.8 ± 0.5 mm; large: 89.6 ± 0.5 mm) ,starvation,restrict,1,0,continuous,unknown,no,"There were also two nutritional-state treatments, satiated (fish fed 30 min before the trial) and food-deprived (last fed 24 h before the trial), ",unknown,three different size classes (small: 35.0 ± 0.4 mm total length (mean ± SE); medium: 65.8 ± 0.5 mm; large: 89.6 ± 0.5 mm) ,predator response,latency to emerge,predation_response,sec,no,"We initiated an “attack” on the test fish within 30 s of when it began feeding and was either directly underneath or to the side of the food patch and facing or broadside to the model at the initiation of the attack. Most (92.0%) test fish fled into the refuge after being attacked by either model; if the attacked fish did not swim into the refuge, the trial was terminated and the fish excluded from the data analysis. Once the fish entered the refuge after being attacked, we recorded latency of emergence from the refuge (i.e., time that the fish spent in the refuge before its first exit). Exit from the refuge was noted to have occurred when the fish’s entire body was outside of the refuge and in the open-habitat area (Fig. 1).",12-17 times per treatment (187 total),,,,,12-17 times per treatment (187 total),,,,,F,0.03,158,0.87,S0239,NA,NA,NA,negative,no,"Text, pp785",text,exclude_all,insufficient data available,all groups combined
CD174,EG046,EX051,ES0281,Duffield,2015,PLoS ONE,grass prawn; common prawn,Palaemon elegans; Palaemon serratus (only 5 of 320 were serratus),malacostracan,wild,lab,unknown,juvenile,We kept the heaviest 160 and lightest 160 individuals for use in experiments (mean mass ± S.E. of large prawns: 1.308 ± 0.049g; small prawns: 0.168 ± 0.006g),starvation,restrict,1,0,continuous,yes (weight),no,"Satiated treatments were fed a pinch of cichlid pellets daily and immediately after each experimental trial, so as to standardise the food eaten in a trial regardless oftask success. Hungry treatments were deprived offood for 24 hours before a trial but fed immediately after a behavioural trial.",juvenile,We kept the heaviest 160 and lightest 160 individuals for use in experiments (mean mass ± S.E. of large prawns: 1.308 ± 0.049g; small prawns: 0.168 ± 0.006g),novel environment,latency to reach divider,novelenvironment_exploration,sec,no,"spatial exploration task, time to reach a divider (need to pass to reach food)",24,27.04167,43.52059,,,24,23.625,33.29423,,,,,,,S0240,NA,NA,NA,negative,no,Figshare: doi: 10.6084/m9.figshare.1545549.,raw,,,small size group
CD174,EG047,EX052,ES0282,Duffield,2015,PLoS ONE,grass prawn; common prawn,Palaemon elegans; Palaemon serratus (only 5 of 320 were serratus),malacostracan,wild,lab,unknown,adult,We kept the heaviest 160 and lightest 160 individuals for use in experiments (mean mass ± S.E. of large prawns: 1.308 ± 0.049g; small prawns: 0.168 ± 0.006g),starvation,restrict,1,0,continuous,yes (weight),no,"Satiated treatments were fed a pinch of cichlid pellets daily and immediately after each experimental trial, so as to standardise the food eaten in a trial regardless oftask success. Hungry treatments were deprived offood for 24 hours before a trial but fed immediately after a behavioural trial.",adult,We kept the heaviest 160 and lightest 160 individuals for use in experiments (mean mass ± S.E. of large prawns: 1.308 ± 0.049g; small prawns: 0.168 ± 0.006g),novel environment,latency to reach divider,novelenvironment_exploration,sec,no,"spatial exploration task, time to reach a divider (need to pass to reach food)",24,84.625,104.85883,,,24,94.95833,97.11064,,,,,,,S0241,NA,NA,NA,negative,no,Figshare: doi: 10.6084/m9.figshare.1545549.,raw,,,large size group
CD174,EG048,EX053,ES0283,Duffield,2015,PLoS ONE,grass prawn; common prawn,Palaemon elegans; Palaemon serratus (only 5 of 320 were serratus),malacostracan,wild,lab,unknown,juvenile,We kept the heaviest 160 and lightest 160 individuals for use in experiments (mean mass ± S.E. of large prawns: 1.308 ± 0.049g; small prawns: 0.168 ± 0.006g),starvation,restrict,1,0,continuous,yes (weight),no,"Satiated treatments were fed a pinch of cichlid pellets daily and immediately after each experimental trial, so as to standardise the food eaten in a trial regardless oftask success. Hungry treatments were deprived offood for 24 hours before a trial but fed immediately after a behavioural trial.",juvenile,We kept the heaviest 160 and lightest 160 individuals for use in experiments (mean mass ± S.E. of large prawns: 1.308 ± 0.049g; small prawns: 0.168 ± 0.006g),novel environment,latency to reach box,novelenvironment_exploration,sec,no,"manipulation task, time to reach a box (need to manipulate box to reach food)",24,76.66667,99.08436,,,24,60.16667,85.20138,,,,,,,S0242,NA,NA,NA,negative,no,Figshare: doi: 10.6084/m9.figshare.1545549.,raw,,,small size group
CD174,EG049,EX054,ES0284,Duffield,2015,PLoS ONE,grass prawn; common prawn,Palaemon elegans; Palaemon serratus (only 5 of 320 were serratus),malacostracan,wild,lab,unknown,adult,We kept the heaviest 160 and lightest 160 individuals for use in experiments (mean mass ± S.E. of large prawns: 1.308 ± 0.049g; small prawns: 0.168 ± 0.006g),starvation,restrict,1,0,continuous,yes (weight),no,"Satiated treatments were fed a pinch of cichlid pellets daily and immediately after each experimental trial, so as to standardise the food eaten in a trial regardless oftask success. Hungry treatments were deprived offood for 24 hours before a trial but fed immediately after a behavioural trial.",adult,We kept the heaviest 160 and lightest 160 individuals for use in experiments (mean mass ± S.E. of large prawns: 1.308 ± 0.049g; small prawns: 0.168 ± 0.006g),novel environment,latency to reach box,novelenvironment_exploration,sec,no,"manipulation task, time to reach a box (need to manipulate box to reach food)",24,98.95833,111.1124,,,24,110.25,100.4339,,,,,,,S0243,NA,NA,NA,negative,no,Figshare: doi: 10.6084/m9.figshare.1545549.,raw,,,large size group
CD180,EG050,EX055,ES0285,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quantity,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,67% of ad libitum,juvenile,approx 28 weeks,novel object,time to first approach,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",8,12.5,2.658409836,0.939889811,,8,10.4,2.39642591,0.847264506,,,,,,S0244,8,10.4,2.39642591,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0286,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quality,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,13% v 3% protein,juvenile,approx 28 weeks,novel object,time to first approach,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",7,12.44285714,3.810667983,1.440297116,,8,10.4,2.39642591,0.847264506,,,,,,S0244,8,10.4,2.39642591,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0287,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,combined,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,above 2 combined,juvenile,approx 28 weeks,novel object,time to first approach,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",8,13.4,2.661363775,0.940934186,,8,10.4,2.39642591,0.847264506,,,,,,S0244,8,10.4,2.39642591,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0288,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quantity,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,67% of ad libitum,juvenile,approx 28 weeks,novel object,time to consistent approach,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",8,14.65,2.088403355,0.738362087,,8,11.6,3.609511245,1.276154939,,,,,,S0245,8,11.6,3.609511245,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0289,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quality,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,13% v 3% protein,juvenile,approx 28 weeks,novel object,time to consistent approach,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",7,17.12857143,7.746012799,2.927717646,,8,11.6,3.609511245,1.276154939,,,,,,S0245,8,11.6,3.609511245,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0290,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,combined,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,above 2 combined,juvenile,approx 28 weeks,novel object,time to consistent approach,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",8,18.15,6.058995673,2.142178464,,8,11.6,3.609511245,1.276154939,,,,,,S0245,8,11.6,3.609511245,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0291,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quantity,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,67% of ad libitum,juvenile,approx 28 weeks,novel object,time to first touch,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",8,13.6,2.946668821,1.041804753,,8,11.55,2.88394571,1.019628784,,,,,,S0246,8,11.55,2.88394571,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0292,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quality,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,13% v 3% protein,juvenile,approx 28 weeks,novel object,time to first touch,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",7,14.47142857,3.95335903,1.494229262,,8,11.55,2.88394571,1.019628784,,,,,,S0246,8,11.55,2.88394571,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0293,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,combined,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,above 2 combined,juvenile,approx 28 weeks,novel object,time to first touch,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",8,14.3,4.252730215,1.503567187,,8,11.55,2.88394571,1.019628784,,,,,,S0246,8,11.55,2.88394571,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0294,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quantity,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,67% of ad libitum,juvenile,approx 28 weeks,novel object,time to consistent touch,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",8,15.8,2.627328899,0.92890104,,8,12.75,3.528253311,1.247425921,,,,,,S0247,8,12.75,3.528253311,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0295,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quality,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,13% v 3% protein,juvenile,approx 28 weeks,novel object,time to consistent touch,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",7,17.74285714,6.745209941,2.549449721,,8,12.75,3.528253311,1.247425921,,,,,,S0247,8,12.75,3.528253311,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0296,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,combined,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,above 2 combined,juvenile,approx 28 weeks,novel object,time to consistent touch,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",8,20.4,5.870994075,2.075709861,,8,12.75,3.528253311,1.247425921,,,,,,S0247,8,12.75,3.528253311,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0297,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quantity,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,67% of ad libitum,juvenile,approx 28 weeks,novel object,time to first grasp,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",8,18.8,2.826153368,0.999196105,,8,14.55,5.12877039,1.813294161,,,,,,S0248,8,14.55,5.12877039,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0298,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quality,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,13% v 3% protein,juvenile,approx 28 weeks,novel object,time to first grasp,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",7,19.12857143,5.063007764,1.913637061,,8,14.55,5.12877039,1.813294161,,,,,,S0248,8,14.55,5.12877039,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0299,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,combined,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,above 2 combined,juvenile,approx 28 weeks,novel object,time to first grasp,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",8,21.9,4.511255764,1.594969771,,8,14.55,5.12877039,1.813294161,,,,,,S0248,8,14.55,5.12877039,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0300,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quantity,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,67% of ad libitum,juvenile,approx 28 weeks,novel object,time to consistent grasp,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",8,19.75,3.608323711,1.275735082,,8,15.55,5.274195944,1.864709859,,,,,,S0249,8,15.55,5.274195944,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0301,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quality,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,13% v 3% protein,juvenile,approx 28 weeks,novel object,time to consistent grasp,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",7,19.98571429,5.926192868,2.239890364,,8,15.55,5.274195944,1.864709859,,,,,,S0249,8,15.55,5.274195944,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0302,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,combined,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,above 2 combined,juvenile,approx 28 weeks,novel object,time to consistent grasp,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",8,23.3,4.301162634,1.520690633,,8,15.55,5.274195944,1.864709859,,,,,,S0249,8,15.55,5.274195944,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0303,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quantity,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,67% of ad libitum,juvenile,approx 28 weeks,novel object,time to touch connecting string,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",8,18.8,2.110856292,0.746300399,,8,20.4,3.903844259,1.380217374,,,,,,S0250,8,20.4,3.903844259,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0304,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quality,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,13% v 3% protein,juvenile,approx 28 weeks,novel object,time to touch connecting string,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",7,22.74285714,4.089766555,1.545786461,,8,20.4,3.903844259,1.380217374,,,,,,S0250,8,20.4,3.903844259,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX055,ES0305,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,combined,restrict,63,0,continuous,"yes (growth, physiology)",control_HC3,above 2 combined,juvenile,approx 28 weeks,novel object,time to touch connecting string,novelobject_response,weeks,no,"a novel object regularly presented to individuals in home cage, age at first behaviours recorded",8,23.9,3.339375476,1.180647522,,8,20.4,3.903844259,1.380217374,,,,,,S0250,8,20.4,3.903844259,positive,yes,Table 2,table,,,"measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
CD180,EG050,EX056,ES0306,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quantity,restrict,133,0,continuous,"yes (growth, physiology)",control_HC3,67% of ad libitum,juvenile,approx 28 weeks,novel environment,time spent in novel cage,novelenvironment_exploration,minutes,no,"a novel area attached to home enclosure, time spent in novel area monitored",8,3.15,2.783625591,0.984160266,,8,7.2,5.319237324,1.880634391,,,,,,S0251,8,7.2,5.319237324,positive,yes,Table 3,table,,,week 26 to 28 so ManipDuration for 27 weeks used
CD180,EG050,EX056,ES0307,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quality,restrict,133,0,continuous,"yes (growth, physiology)",control_HC3,13% v 3% protein,juvenile,approx 28 weeks,novel environment,time spent in novel cage,novelenvironment_exploration,minutes,no,"a novel area attached to home enclosure, time spent in novel area monitored",7,5.085714286,3.869293033,1.462455302,,8,7.2,5.319237324,1.880634391,,,,,,S0251,8,7.2,5.319237324,positive,yes,Table 3,table,,,week 26 to 28 so ManipDuration for 27 weeks used
CD180,EG050,EX056,ES0308,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,combined,restrict,133,0,continuous,"yes (growth, physiology)",control_HC3,above 2 combined,juvenile,approx 28 weeks,novel environment,time spent in novel cage,novelenvironment_exploration,minutes,no,"a novel area attached to home enclosure, time spent in novel area monitored",8,2.2,3.116316507,1.101784267,,8,7.2,5.319237324,1.880634391,,,,,,S0251,8,7.2,5.319237324,positive,yes,Table 3,table,,,week 26 to 28 so ManipDuration for 27 weeks used
CD180,EG050,EX057,ES0309,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quantity,restrict,133,0,continuous,"yes (growth, physiology)",control_HC3,67% of ad libitum,juvenile,approx 28 weeks,novel environment,activity,novelenvironment_activity,log (boundary crossings),no,"individuals in novel enclosure (wire tower), activity monitored in movement between zones",8,0.95,1.100649159,0.389138242,,8,1.25,1.114194135,0.393927114,,,,,,S0252,8,1.25,1.114194135,positive,yes,Table 3,table,,,week 26 to 28 so ManipDuration for 27 weeks used
CD180,EG050,EX057,ES0310,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quality,restrict,133,0,continuous,"yes (growth, physiology)",control_HC3,13% v 3% protein,juvenile,approx 28 weeks,novel environment,activity,novelenvironment_activity,log (boundary crossings),no,"individuals in novel enclosure (wire tower), activity monitored in movement between zones",7,1.028571429,1.025043553,0.387430046,,8,1.25,1.114194135,0.393927114,,,,,,S0252,8,1.25,1.114194135,positive,yes,Table 3,table,,,week 26 to 28 so ManipDuration for 27 weeks used
CD180,EG050,EX057,ES0311,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,combined,restrict,133,0,continuous,"yes (growth, physiology)",control_HC3,above 2 combined,juvenile,approx 28 weeks,novel environment,activity,novelenvironment_activity,log (boundary crossings),no,"individuals in novel enclosure (wire tower), activity monitored in movement between zones",8,0.65,0.954687683,0.337533067,,8,1.25,1.114194135,0.393927114,,,,,,S0252,8,1.25,1.114194135,positive,yes,Table 3,table,,,week 26 to 28 so ManipDuration for 27 weeks used
CD180,EG050,EX056,ES0312,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quantity,restrict,140,175,control,"yes (growth, physiology)",control_HC3,67% of ad libitum,juvenile,approx 28 weeks,novel environment,time spent in novel cage,novelenvironment_exploration,minutes,no,"a novel area attached to home enclosure, time spent in novel area monitored",8,6.45,3.39915956,1.201784388,,8,4.85,4.839126249,1.710889493,,,,,,S0253,8,4.85,4.839126249,positive,yes,Table 4,table,,,week 52 to 54 so ManipOffset for midpoint used
CD180,EG050,EX056,ES0313,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quality,restrict,140,175,control,"yes (growth, physiology)",control_HC3,13% v 3% protein,juvenile,approx 28 weeks,novel environment,time spent in novel cage,novelenvironment_exploration,minutes,no,"a novel area attached to home enclosure, time spent in novel area monitored",6,6.5,1.432480366,0.584807661,,8,4.85,4.839126249,1.710889493,,,,,,S0253,8,4.85,4.839126249,positive,yes,Table 4,table,,,week 52 to 54 so ManipOffset for midpoint used
CD180,EG050,EX056,ES0314,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,combined,restrict,140,175,control,"yes (growth, physiology)",control_HC3,above 2 combined,juvenile,approx 28 weeks,novel environment,time spent in novel cage,novelenvironment_exploration,minutes,no,"a novel area attached to home enclosure, time spent in novel area monitored",8,1.1,2.237026087,0.790908158,,8,4.85,4.839126249,1.710889493,,,,,,S0253,8,4.85,4.839126249,positive,yes,Table 4,table,,,week 52 to 54 so ManipOffset for midpoint used
CD180,EG050,EX057,ES0315,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quantity,restrict,140,175,control,"yes (growth, physiology)",control_HC3,67% of ad libitum,juvenile,approx 28 weeks,novel environment,activity,novelenvironment_activity,log (boundary crossings),no,"individuals in novel enclosure (wire tower), activity monitored in movement between zones",8,1.55,0.815037247,0.288159182,,8,1.6,1.065698966,0.376781483,,,,,,S0254,8,1.6,1.065698966,positive,yes,Table 4,table,,,week 52 to 54 so ManipOffset for midpoint used
CD180,EG050,EX057,ES0316,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,quality,restrict,140,175,control,"yes (growth, physiology)",control_HC3,13% v 3% protein,juvenile,approx 28 weeks,novel environment,activity,novelenvironment_activity,log (boundary crossings),no,"individuals in novel enclosure (wire tower), activity monitored in movement between zones",6,1.95,0.450555213,0.183938395,,8,1.6,1.065698966,0.376781483,,,,,,S0254,8,1.6,1.065698966,positive,yes,Table 4,table,,,week 52 to 54 so ManipOffset for midpoint used
CD180,EG050,EX057,ES0317,Elias,1977,American Journal of Clinical Nutrition,white-fronted capuchin; tufted capuchin,Cebus albifrons; Cebus apella,mammal,lab,lab,mixed,juvenile,8 to 28 weeks,combined,restrict,140,175,control,"yes (growth, physiology)",control_HC3,above 2 combined,juvenile,approx 28 weeks,novel environment,activity,novelenvironment_activity,log (boundary crossings),no,"individuals in novel enclosure (wire tower), activity monitored in movement between zones",8,1.45,0.756873267,0.26759511,,8,1.6,1.065698966,0.376781483,,,,,,S0254,8,1.6,1.065698966,positive,yes,Table 4,table,,,week 52 to 54 so ManipOffset for midpoint used
CD190,EG051,EX058,ES0318,Farrell,2012,Behavioral Ecology,European starling,Sturnus vulgaris,bird,wild,lab,mixed,juvenile,85 ± 12.2 days of age,quantity,restrict,67,30,control,yes (weight),no,"Control birds (both nestling and juvenile caught) were given ad libitum food (chicken starter), whereas food-restricted birds (both nestling and juvenile caught) had their food removed for a random 4-h interval ",juvenile,4-10 months,novel object,neophobia score,novelobject_response,arbitrary,yes,individuals feeding with a novel object present (: [Neophobia score = log-(mean feeding latency in test trials - mean latency in baseline trials)]. A higher score denotes more apprehension to explore novel objects and/or foods.),9,"There were no significant effects of treatment condition, sex,order in which the novel items were presented, or any higher-order interactions between fixed effects (0.18 , P , 0.91).",,,,10,"There were no significant effects of treatment condition, sex,order in which the novel items were presented, or any higher-order interactions between fixed effects (0.18 , P , 0.91).",,,,,,,,S0255,NA,NA,NA,negative,no,"Text, pp103",text,exclude_all,insufficient data available,
