"","StudyID","Source","EffectSizesFromPublication","EffectSizesIncludedinAnalysis","Extraction.Complete","GroupID","ExperimentID","EffectID","Author","Year","Journal","SpeciesCom","SpeciesSci","Class","WildLabRear","WildLabExp","Sex","ManipLifeStage","ManipType","ManipDirection","ManipDuration","ManipOffset","ManipPostDiet","ManipConditionEffect","ManipGroups","ExpLifeStage","ExpType","ExpVar","RiskContext","ExpVarUnit","nLC","meanLC","sdLC","seLC","CILC","nHC","meanHC","sdHC","seHC","CIHC","TestStatType","TestStatValue","df","P","SharedGroup","SharedN","Sharedmean","Sharedsd","RiskEffectDirection","Marginalised","DataLocation","DataPresentation","Exclude","ExclusionReason","MaxLongevity","MaxLongevitySource","RelativeTimeFromTreatment","lnMaxLongevity","RelativeManipDuration"
"279","CD170","SearchQuery","yes","yes","yes","EG226","EX282","ES0279","Dossman","2018","Auk","American redstart","Setophaga ruticilla","bird","wild","wild","male","adult","quantity","restrict",5,0,"natural","yes (body mass)","no","adult","dispersal/migration","stopover duration","dispersalmigration","days","7","111.2","21.2","",NA,"7","60.9","14.9","",NA,"","",NA,"","S0238",NA,NA,NA,"negative","no","Text, pp96","text","","",3650,"systematic",0,8.20248244657654,0.00136986301369863
"281","CD174","SearchQuery","yes","yes","yes","EG046","EX051","ES0281","Duffield","2015","PLoS ONE","grass prawn; common prawn","Palaemon elegans","malacostracan","wild","lab","unknown","juvenile","starvation","restrict",1,0,"continuous","yes (weight)","no","juvenile","novel environment","latency to reach divider","novelenvironment_exploration","sec","24","27.04167","43.52059","",NA,"24","23.625","33.29423","",NA,"","",NA,"","S0240",NA,NA,NA,"negative","no","Figshare: doi: 10.6084/m9.figshare.1545549.","raw","","",547.5,"non-systematic",0,6.30536246169066,0.00182648401826484
"282","CD174","SearchQuery","yes","yes","yes","EG047","EX052","ES0282","Duffield","2015","PLoS ONE","grass prawn; common prawn","Palaemon elegans","malacostracan","wild","lab","unknown","adult","starvation","restrict",1,0,"continuous","yes (weight)","no","adult","novel environment","latency to reach divider","novelenvironment_exploration","sec","24","84.625","104.85883","",NA,"24","94.95833","97.11064","",NA,"","",NA,"","S0241",NA,NA,NA,"negative","no","Figshare: doi: 10.6084/m9.figshare.1545549.","raw","","",547.5,"non-systematic",0,6.30536246169066,0.00182648401826484
"283","CD174","SearchQuery","yes","yes","yes","EG048","EX053","ES0283","Duffield","2015","PLoS ONE","grass prawn; common prawn","Palaemon elegans","malacostracan","wild","lab","unknown","juvenile","starvation","restrict",1,0,"continuous","yes (weight)","no","juvenile","novel environment","latency to reach box","novelenvironment_exploration","sec","24","76.66667","99.08436","",NA,"24","60.16667","85.20138","",NA,"","",NA,"","S0242",NA,NA,NA,"negative","no","Figshare: doi: 10.6084/m9.figshare.1545549.","raw","","",547.5,"non-systematic",0,6.30536246169066,0.00182648401826484
"284","CD174","SearchQuery","yes","yes","yes","EG049","EX054","ES0284","Duffield","2015","PLoS ONE","grass prawn; common prawn","Palaemon elegans","malacostracan","wild","lab","unknown","adult","starvation","restrict",1,0,"continuous","yes (weight)","no","adult","novel environment","latency to reach box","novelenvironment_exploration","sec","24","98.95833","111.1124","",NA,"24","110.25","100.4339","",NA,"","",NA,"","S0243",NA,NA,NA,"negative","no","Figshare: doi: 10.6084/m9.figshare.1545549.","raw","","",547.5,"non-systematic",0,6.30536246169066,0.00182648401826484
"285","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0285","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quantity","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to first approach","novelobject_response","weeks","8","12.5","2.658409836","0.939889811",NA,"8","10.4","2.39642591","0.847264506",NA,"","",NA,"","S0244",8,10.4,2.39642591,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"286","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0286","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quality","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to first approach","novelobject_response","weeks","7","12.44285714","3.810667983","1.440297116",NA,"8","10.4","2.39642591","0.847264506",NA,"","",NA,"","S0244",8,10.4,2.39642591,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"287","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0287","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","combined","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to first approach","novelobject_response","weeks","8","13.4","2.661363775","0.940934186",NA,"8","10.4","2.39642591","0.847264506",NA,"","",NA,"","S0244",8,10.4,2.39642591,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"288","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0288","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quantity","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to consistent approach","novelobject_response","weeks","8","14.65","2.088403355","0.738362087",NA,"8","11.6","3.609511245","1.276154939",NA,"","",NA,"","S0245",8,11.6,3.609511245,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"289","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0289","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quality","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to consistent approach","novelobject_response","weeks","7","17.12857143","7.746012799","2.927717646",NA,"8","11.6","3.609511245","1.276154939",NA,"","",NA,"","S0245",8,11.6,3.609511245,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"290","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0290","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","combined","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to consistent approach","novelobject_response","weeks","8","18.15","6.058995673","2.142178464",NA,"8","11.6","3.609511245","1.276154939",NA,"","",NA,"","S0245",8,11.6,3.609511245,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"291","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0291","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quantity","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to first touch","novelobject_response","weeks","8","13.6","2.946668821","1.041804753",NA,"8","11.55","2.88394571","1.019628784",NA,"","",NA,"","S0246",8,11.55,2.88394571,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"292","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0292","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quality","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to first touch","novelobject_response","weeks","7","14.47142857","3.95335903","1.494229262",NA,"8","11.55","2.88394571","1.019628784",NA,"","",NA,"","S0246",8,11.55,2.88394571,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"293","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0293","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","combined","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to first touch","novelobject_response","weeks","8","14.3","4.252730215","1.503567187",NA,"8","11.55","2.88394571","1.019628784",NA,"","",NA,"","S0246",8,11.55,2.88394571,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"294","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0294","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quantity","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to consistent touch","novelobject_response","weeks","8","15.8","2.627328899","0.92890104",NA,"8","12.75","3.528253311","1.247425921",NA,"","",NA,"","S0247",8,12.75,3.528253311,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"295","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0295","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quality","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to consistent touch","novelobject_response","weeks","7","17.74285714","6.745209941","2.549449721",NA,"8","12.75","3.528253311","1.247425921",NA,"","",NA,"","S0247",8,12.75,3.528253311,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"296","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0296","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","combined","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to consistent touch","novelobject_response","weeks","8","20.4","5.870994075","2.075709861",NA,"8","12.75","3.528253311","1.247425921",NA,"","",NA,"","S0247",8,12.75,3.528253311,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"297","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0297","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quantity","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to first grasp","novelobject_response","weeks","8","18.8","2.826153368","0.999196105",NA,"8","14.55","5.12877039","1.813294161",NA,"","",NA,"","S0248",8,14.55,5.12877039,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"298","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0298","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quality","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to first grasp","novelobject_response","weeks","7","19.12857143","5.063007764","1.913637061",NA,"8","14.55","5.12877039","1.813294161",NA,"","",NA,"","S0248",8,14.55,5.12877039,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"299","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0299","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","combined","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to first grasp","novelobject_response","weeks","8","21.9","4.511255764","1.594969771",NA,"8","14.55","5.12877039","1.813294161",NA,"","",NA,"","S0248",8,14.55,5.12877039,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"300","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0300","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quantity","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to consistent grasp","novelobject_response","weeks","8","19.75","3.608323711","1.275735082",NA,"8","15.55","5.274195944","1.864709859",NA,"","",NA,"","S0249",8,15.55,5.274195944,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"301","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0301","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quality","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to consistent grasp","novelobject_response","weeks","7","19.98571429","5.926192868","2.239890364",NA,"8","15.55","5.274195944","1.864709859",NA,"","",NA,"","S0249",8,15.55,5.274195944,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"302","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0302","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","combined","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to consistent grasp","novelobject_response","weeks","8","23.3","4.301162634","1.520690633",NA,"8","15.55","5.274195944","1.864709859",NA,"","",NA,"","S0249",8,15.55,5.274195944,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"303","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0303","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quantity","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to touch connecting string","novelobject_response","weeks","8","18.8","2.110856292","0.746300399",NA,"8","20.4","3.903844259","1.380217374",NA,"","",NA,"","S0250",8,20.4,3.903844259,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"304","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0304","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quality","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to touch connecting string","novelobject_response","weeks","7","22.74285714","4.089766555","1.545786461",NA,"8","20.4","3.903844259","1.380217374",NA,"","",NA,"","S0250",8,20.4,3.903844259,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"305","CD180","SearchQuery","yes","yes","yes","EG050","EX055","ES0305","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","combined","restrict",63,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel object","time to touch connecting string","novelobject_response","weeks","8","23.9","3.339375476","1.180647522",NA,"8","20.4","3.903844259","1.380217374",NA,"","",NA,"","S0250",8,20.4,3.903844259,"positive","yes","Table 2","table","","",15768,"systematic",0,9.66573784883256,0.00399543378995434
"306","CD180","SearchQuery","yes","yes","yes","EG050","EX056","ES0306","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quantity","restrict",133,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel environment","time spent in novel cage","novelenvironment_exploration","minutes","8","3.15","2.783625591","0.984160266",NA,"8","7.2","5.319237324","1.880634391",NA,"","",NA,"","S0251",8,7.2,5.319237324,"positive","yes","Table 3","table","","",15768,"systematic",0,9.66573784883256,0.00843480466768138
"307","CD180","SearchQuery","yes","yes","yes","EG050","EX056","ES0307","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quality","restrict",133,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel environment","time spent in novel cage","novelenvironment_exploration","minutes","7","5.085714286","3.869293033","1.462455302",NA,"8","7.2","5.319237324","1.880634391",NA,"","",NA,"","S0251",8,7.2,5.319237324,"positive","yes","Table 3","table","","",15768,"systematic",0,9.66573784883256,0.00843480466768138
"308","CD180","SearchQuery","yes","yes","yes","EG050","EX056","ES0308","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","combined","restrict",133,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel environment","time spent in novel cage","novelenvironment_exploration","minutes","8","2.2","3.116316507","1.101784267",NA,"8","7.2","5.319237324","1.880634391",NA,"","",NA,"","S0251",8,7.2,5.319237324,"positive","yes","Table 3","table","","",15768,"systematic",0,9.66573784883256,0.00843480466768138
"309","CD180","SearchQuery","yes","yes","yes","EG050","EX057","ES0309","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quantity","restrict",133,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel environment","activity","novelenvironment_activity","log (boundary crossings)","8","0.95","1.100649159","0.389138242",NA,"8","1.25","1.114194135","0.393927114",NA,"","",NA,"","S0252",8,1.25,1.114194135,"positive","yes","Table 3","table","","",15768,"systematic",0,9.66573784883256,0.00843480466768138
"310","CD180","SearchQuery","yes","yes","yes","EG050","EX057","ES0310","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quality","restrict",133,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel environment","activity","novelenvironment_activity","log (boundary crossings)","7","1.028571429","1.025043553","0.387430046",NA,"8","1.25","1.114194135","0.393927114",NA,"","",NA,"","S0252",8,1.25,1.114194135,"positive","yes","Table 3","table","","",15768,"systematic",0,9.66573784883256,0.00843480466768138
"311","CD180","SearchQuery","yes","yes","yes","EG050","EX057","ES0311","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","combined","restrict",133,0,"continuous","yes (growth, physiology)","control_HC3","juvenile","novel environment","activity","novelenvironment_activity","log (boundary crossings)","8","0.65","0.954687683","0.337533067",NA,"8","1.25","1.114194135","0.393927114",NA,"","",NA,"","S0252",8,1.25,1.114194135,"positive","yes","Table 3","table","","",15768,"systematic",0,9.66573784883256,0.00843480466768138
"312","CD180","SearchQuery","yes","yes","yes","EG050","EX056","ES0312","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quantity","restrict",140,175,"control","yes (growth, physiology)","control_HC3","juvenile","novel environment","time spent in novel cage","novelenvironment_exploration","minutes","8","6.45","3.39915956","1.201784388",NA,"8","4.85","4.839126249","1.710889493",NA,"","",NA,"","S0253",8,4.85,4.839126249,"positive","yes","Table 4","table","","",15768,"systematic",0.0110984271943176,9.66573784883256,0.00887874175545408
"313","CD180","SearchQuery","yes","yes","yes","EG050","EX056","ES0313","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quality","restrict",140,175,"control","yes (growth, physiology)","control_HC3","juvenile","novel environment","time spent in novel cage","novelenvironment_exploration","minutes","6","6.5","1.432480366","0.584807661",NA,"8","4.85","4.839126249","1.710889493",NA,"","",NA,"","S0253",8,4.85,4.839126249,"positive","yes","Table 4","table","","",15768,"systematic",0.0110984271943176,9.66573784883256,0.00887874175545408
"314","CD180","SearchQuery","yes","yes","yes","EG050","EX056","ES0314","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","combined","restrict",140,175,"control","yes (growth, physiology)","control_HC3","juvenile","novel environment","time spent in novel cage","novelenvironment_exploration","minutes","8","1.1","2.237026087","0.790908158",NA,"8","4.85","4.839126249","1.710889493",NA,"","",NA,"","S0253",8,4.85,4.839126249,"positive","yes","Table 4","table","","",15768,"systematic",0.0110984271943176,9.66573784883256,0.00887874175545408
"315","CD180","SearchQuery","yes","yes","yes","EG050","EX057","ES0315","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quantity","restrict",140,175,"control","yes (growth, physiology)","control_HC3","juvenile","novel environment","activity","novelenvironment_activity","log (boundary crossings)","8","1.55","0.815037247","0.288159182",NA,"8","1.6","1.065698966","0.376781483",NA,"","",NA,"","S0254",8,1.6,1.065698966,"positive","yes","Table 4","table","","",15768,"systematic",0.0110984271943176,9.66573784883256,0.00887874175545408
"316","CD180","SearchQuery","yes","yes","yes","EG050","EX057","ES0316","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","quality","restrict",140,175,"control","yes (growth, physiology)","control_HC3","juvenile","novel environment","activity","novelenvironment_activity","log (boundary crossings)","6","1.95","0.450555213","0.183938395",NA,"8","1.6","1.065698966","0.376781483",NA,"","",NA,"","S0254",8,1.6,1.065698966,"positive","yes","Table 4","table","","",15768,"systematic",0.0110984271943176,9.66573784883256,0.00887874175545408
"317","CD180","SearchQuery","yes","yes","yes","EG050","EX057","ES0317","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus spp.","mammal","lab","lab","mixed","juvenile","combined","restrict",140,175,"control","yes (growth, physiology)","control_HC3","juvenile","novel environment","activity","novelenvironment_activity","log (boundary crossings)","8","1.45","0.756873267","0.26759511",NA,"8","1.6","1.065698966","0.376781483",NA,"","",NA,"","S0254",8,1.6,1.065698966,"positive","yes","Table 4","table","","",15768,"systematic",0.0110984271943176,9.66573784883256,0.00887874175545408
"324","CD213","SearchQuery","yes","yes","yes","EG054","EX060","ES0324","Gazzola","2018","Evolutionary Biology","common water frog","Pelophylax kl. esculentus","amphibian","wild","lab","mixed","juvenile","starvation","restrict",1,0,"continuous","unknown","no","juvenile","novel environment","activity","novelenvironment_activity","count","20","11.9635055","4.926265897","1.101546542",NA,"20","12.27193853","6.108569713","1.365917712",NA,"","",NA,"","S0258",NA,NA,NA,"positive","no","Figure 2A","figure","","",3650,"non-systematic",0,8.20248244657654,0.000273972602739726
"325","CD213","SearchQuery","yes","yes","yes","EG055","EX061","ES0325","Gazzola","2018","Evolutionary Biology","common water frog","Pelophylax kl. esculentus","amphibian","wild","lab","mixed","juvenile","starvation","restrict",1,0,"continuous","unknown","no","juvenile","predator response","activity","predation_response","count","20","7.997937944","4.33511399","0.969360957",NA,"20","13.32942321","4.729215261","1.05748468",NA,"","",NA,"","S0259",NA,NA,NA,"positive","no","Figure 2A","figure","","",3650,"non-systematic",0,8.20248244657654,0.000273972602739726
"326","CD213","SearchQuery","yes","yes","yes","EG055","EX061","ES0326","Gazzola","2018","Evolutionary Biology","common water frog","Pelophylax kl. esculentus","amphibian","wild","lab","mixed","juvenile","starvation","restrict",1,0,"continuous","unknown","no","juvenile","predator response","distance from cue","predation_response","cm","20","14.23529412","4.209069134","0.941176471",NA,"20","10.70588235","5.261336418","1.176470588",NA,"","",NA,"","S0260",NA,NA,NA,"negative","no","Figure 3A","figure","","",3650,"non-systematic",0,8.20248244657654,0.000273972602739726
"327","CD213","SearchQuery","yes","yes","yes","EG056","EX062","ES0327","Gazzola","2018","Evolutionary Biology","common water frog","Pelophylax kl. esculentus","amphibian","wild","lab","mixed","juvenile","starvation","restrict",1,0,"continuous","unknown","no","juvenile","novel environment","activity","novelenvironment_activity","count","20","12.1838148","5.320367169","1.189670266",NA,"20","11.9635055","5.517417805","1.233732127",NA,"","",NA,"","S0261",NA,NA,NA,"positive","no","Figure 2B","figure","","",3650,"non-systematic",0,8.20248244657654,0.000273972602739726
"328","CD213","SearchQuery","yes","yes","yes","EG057","EX063","ES0328","Gazzola","2018","Evolutionary Biology","common water frog","Pelophylax kl. esculentus","amphibian","wild","lab","mixed","juvenile","starvation","restrict",1,0,"continuous","unknown","no","juvenile","predator response","activity","predation_response","count","20","12.27193853","4.532164626","1.013422819",NA,"20","12.36006225","6.502670984","1.454041436",NA,"","",NA,"","S0262",NA,NA,NA,"positive","no","Figure 3B","figure","","",3650,"non-systematic",0,8.20248244657654,0.000273972602739726
"329","CD213","SearchQuery","yes","yes","yes","EG057","EX063","ES0329","Gazzola","2018","Evolutionary Biology","common water frog","Pelophylax kl. esculentus","amphibian","wild","lab","mixed","juvenile","starvation","restrict",1,0,"continuous","unknown","no","juvenile","predator response","distance from cue","predation_response","cm","20","15.17647059","4.472135955","1",NA,"20","16.11764706","6.313603701","1.411764706",NA,"","",NA,"","S0263",NA,NA,NA,"negative","no","Figure 3B","figure","","",3650,"non-systematic",0,8.20248244657654,0.000273972602739726
"330","CD216","SearchQuery","partial","yes","yes","EG058A","EX064A","ES0348","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",1,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","activity","novelenvironment_activity","cm","13","201.66037","31.38515","",NA,"10","223.36544","35.88253","",NA,"","",NA,"","S0270",10,223.36544,35.88253,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.00378310214423494
"331","CD216","SearchQuery","partial","yes","yes","EG058A","EX064A","ES0349","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",2,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","activity","novelenvironment_activity","cm","15","180.20193","19.67777","",NA,"10","223.36544","35.88253","",NA,"","",NA,"","S0270",10,223.36544,35.88253,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.00756620428846989
"332","CD216","SearchQuery","partial","yes","yes","EG058A","EX064A","ES0350","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",3,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","activity","novelenvironment_activity","cm","15","133.35493","18.35764","",NA,"10","223.36544","35.88253","",NA,"","",NA,"","S0270",10,223.36544,35.88253,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0113493064327048
"333","CD216","SearchQuery","partial","yes","yes","EG058A","EX064A","ES0351","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",4,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","activity","novelenvironment_activity","cm","15","151.76451","25.5499","",NA,"10","223.36544","35.88253","",NA,"","",NA,"","S0270",10,223.36544,35.88253,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0151324085769398
"334","CD216","SearchQuery","partial","yes","yes","EG059A","EX065A","ES0352","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",3,0,"continuous","yes (body mass, dessication, reproduction)","control_HC2","adult","novel environment","activity","novelenvironment_activity","cm","22","116.56621","58.19716","",NA,"22","184.2985","43.40279","",NA,"","",NA,"","S0271",22,184.2985,43.40279,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0113493064327048
