,StudyID,GroupID,ExperimentID,EffectID,Author,Year,Journal,SpeciesCom,SpeciesSci,Class,WildLabRear,WildLabExp,Sex,ManipLifeStage,ManipLifeStage.,ManipLifeStage.,ManipLifeStage.,ManipLifeStage.,ManipLifeStage.,ManipPostDiet,ManipConditionEffect,ManipNotes,ManipGroups,ExpLifeStage,ExpAge,ExpType,ExpVar,RiskContext,ExpVarUnit,ExpRepeated,ExpNotes,nLC,meanLC,sdLC,seLC,CILC,nHC,meanHC,sdHC,seHC,CIHC,TestStatType,TestStatValue,df,P,error,error_description,RiskEffectDirection,Marginalised,DataLocation,DataPresentation,Exclude,ExclusionReason,Extraction.notes
289,CD583,EG194,EX243,ES1502,Whitham,2000,Journal of Chemical Ecology,graybelly salamander,Eurycea multiplicata,amphibian,wild,lab,unknown,adult,"Adults of Eurycea multiplicata griseogaster [mean ± 1 SD total length (TL)
c 52.26 ± 14.69 mm] were collected in Greene County, ","Adults of Eurycea multiplicata griseogaster [mean ± 1 SD total length (TL)
c 52.26 ± 14.69 mm] were collected in Greene County, ","Adults of Eurycea multiplicata griseogaster [mean ± 1 SD total length (TL)
c 52.26 ± 14.69 mm] were collected in Greene County, ","Adults of Eurycea multiplicata griseogaster [mean ± 1 SD total length (TL)
c 52.26 ± 14.69 mm] were collected in Greene County, ","Adults of Eurycea multiplicata griseogaster [mean ± 1 SD total length (TL)
c 52.26 ± 14.69 mm] were collected in Greene County, ",starvation,unknown,Hungry individuals were not fed for five days prior to testing. Satiated individuals were fed one day prior to testing.,no,adult,unknown,foraging under predation risk,latency to strike,predation_feeding,sec,no,"Each salamander was randomly assigned to one of six treatment groups. Treatments were either “hungry” or “satiated” salamanders in the presence of chemical stimuli from banded sculpin (predatory fish; N c 27 trials), golden redhorse (Moxostoma erythrurum: nonpredatory fish; N c 13 trials), or tadpoles of leopard frogs (Rana sphenocephala; nonpredatory amphibian; N c 14 trials).Individuals were tested in their home chambers. The water was changed two days prior to testing. Treatments were randomly assigned, and each salamander was tested only once. At the start of each trial, 60 ml of the appropriate chemical stimulus was added to the center of the chamber via a syringe at the rate of approximately 1 ml/sec. After 5 min, one blackworm was added to the center of the container with a pipet. At this point in the trials, salamanders always were located at the edges of the testing chambers; the distance between the salamander and the worm was 4.5–5.5 cm. Latency to strike (time from the addition of the worm to the first strike) and handling time (time from the strike until the entire body of the worm was inside the mouth) was recorded for each individual. Tests were terminated after 15 min if test subjects did not respond, and a latency time of 15 min was recorded.",27,646.9428008,399.7040325,76.92307692,NA,27,840.2366864,215.2252483,41.42011834,NA,,,,,,,negative,no,Figure 1,figure,,,
295,CD645,EG214,EX266,ES1720,Lönnstedt,2012,Proceedings of the Royal Society B: Biological Sciences,Ward's damsel,Pomacentrus wardi,ray-finned fish,wild,wild,unknown,juvenile,juvenile coral reef damselfish,juvenile coral reef damselfish,juvenile coral reef damselfish,juvenile coral reef damselfish,juvenile coral reef damselfish,continuous,yes (length),"Fish were pre-conditioned with one of two feeding treatments for 6–8 days (well- and poorly fed fish, 2500 and 320 Artemia per litre in the rearing tanks three times daily, respectively).",no,juvenile,unknown,novel environment,boldness score (related to refuge use),novelenvironment_refugeuse,arbitrary,no,"After the 30 min predator conditioning, fish were placed
into a labelled plastic bag containing sea water and photographed
against a 1 cm grid for the measurement of body
size. Fish were then released onto individual patch reefs
(25   20   15 cm) positioned 3 m from the reef edge (2 m
apart) within 2 h of conditioning. Patch reefs were composed
of a combination of live and dead Pocillopora damicornis, a
bushy hard coral. A fine mesh cage was placed over the
patch reef for 40–60 min to prevent predation during
acclimation to their new habitat.
(c) Behavioural assessment
Following acclimation, the behaviour of fish was quantified for
3 min following previously developed protocols [17,28,33,34].
Briefly, the behaviour of each fish was assessed by a scuba
diver positioned approximately 1 m away from the patch. A
magnifying glass (4 ) aided the assessment of bite rates and
space use over the 3 min focal animal sampling period for
each fish. Four aspects of activity and behaviour were assessed:
(i) bite rate; (ii) total distance moved (cm); (iii) maximum
distance ventured from the habitat patch (cm); and (iv) boldness
(recorded as a variable on a continuous scale from 0 to 3,
where 0 was hiding in hole and seldom emerging; 1 was
retreating to a hole when scared and taking more than 5 s to
re-emerge, weakly or tentatively striking at food; 2 was
shying to shelter when scared but quickly emerging, with purposeful
strikes at food; and 3 was not hiding when scared,
exploring around the coral patch and striking aggressively at
food). At the end of the 3 min observation period, the fish
were approached with a pencil, and the fish’s reaction and
latency to emerge from shelter was taken into account in the
assessment of boldness. This measure of boldness has been
found to be repeatable between observers, consistent in the
short term for newly settled damselfish and related to survival
in the field ([17]; M. I. McCormick 2009, unpublished data).",101,2.211931,0.686979348,0.068357,NA,103,1.936305,0.687851275,0.067776,NA,,,,,,,positive,no,"Lonnstedt, O.; McCormick, M. (2018). Role of predator experience in influencing prey behaviour and survival - dataset. James Cook University. (dataset). http://dx.doi.org/10.4225/28/5a67dd4ea9254 (sheet 3)",table,,,
296,CD645,EG214,EX266,ES1718,Lönnstedt,2012,Proceedings of the Royal Society B: Biological Sciences,Ward's damsel,Pomacentrus wardi,ray-finned fish,wild,wild,unknown,juvenile,juvenile coral reef damselfish,juvenile coral reef damselfish,juvenile coral reef damselfish,juvenile coral reef damselfish,juvenile coral reef damselfish,continuous,yes (length),"Fish were pre-conditioned with one of two feeding treatments for 6–8 days (well- and poorly fed fish, 2500 and 320 Artemia per litre in the rearing tanks three times daily, respectively).",no,juvenile,unknown,novel environment,total distance ventured,novelenvironment_feeding,cm,no,"After the 30 min predator conditioning, fish were placed
into a labelled plastic bag containing sea water and photographed
against a 1 cm grid for the measurement of body
size. Fish were then released onto individual patch reefs
(25   20   15 cm) positioned 3 m from the reef edge (2 m
apart) within 2 h of conditioning. Patch reefs were composed
of a combination of live and dead Pocillopora damicornis, a
bushy hard coral. A fine mesh cage was placed over the
patch reef for 40–60 min to prevent predation during
acclimation to their new habitat.
(c) Behavioural assessment
Following acclimation, the behaviour of fish was quantified for
3 min following previously developed protocols [17,28,33,34].
Briefly, the behaviour of each fish was assessed by a scuba
diver positioned approximately 1 m away from the patch. A
magnifying glass (4 ) aided the assessment of bite rates and
space use over the 3 min focal animal sampling period for
each fish. Four aspects of activity and behaviour were assessed:
(i) bite rate; (ii) total distance moved (cm); (iii) maximum
distance ventured from the habitat patch (cm); and (iv) boldness
(recorded as a variable on a continuous scale from 0 to 3,
where 0 was hiding in hole and seldom emerging; 1 was
retreating to a hole when scared and taking more than 5 s to
re-emerge, weakly or tentatively striking at food; 2 was
shying to shelter when scared but quickly emerging, with purposeful
strikes at food; and 3 was not hiding when scared,
exploring around the coral patch and striking aggressively at
food). At the end of the 3 min observation period, the fish
were approached with a pencil, and the fish’s reaction and
latency to emerge from shelter was taken into account in the
assessment of boldness. This measure of boldness has been
found to be repeatable between observers, consistent in the
short term for newly settled damselfish and related to survival
in the field ([17]; M. I. McCormick 2009, unpublished data).",102,21.78431,12.69743089,1.257233,NA,103,16.12621,12.69743047,1.251115,NA,,,,,,,positive,no,"Lonnstedt, O.; McCormick, M. (2018). Role of predator experience in influencing prey behaviour and survival - dataset. James Cook University. (dataset). http://dx.doi.org/10.4225/28/5a67dd4ea9254 (sheet 3)",table,,,
297,CD645,EG214,EX266,ES1719,Lönnstedt,2012,Proceedings of the Royal Society B: Biological Sciences,Ward's damsel,Pomacentrus wardi,ray-finned fish,wild,wild,unknown,juvenile,juvenile coral reef damselfish,juvenile coral reef damselfish,juvenile coral reef damselfish,juvenile coral reef damselfish,juvenile coral reef damselfish,continuous,yes (length),"Fish were pre-conditioned with one of two feeding treatments for 6–8 days (well- and poorly fed fish, 2500 and 320 Artemia per litre in the rearing tanks three times daily, respectively).",no,juvenile,unknown,novel environment,maximum distance ventured from patch,novelenvironment_exploration,cm,no,"After the 30 min predator conditioning, fish were placed
into a labelled plastic bag containing sea water and photographed
against a 1 cm grid for the measurement of body
size. Fish were then released onto individual patch reefs
(25   20   15 cm) positioned 3 m from the reef edge (2 m
apart) within 2 h of conditioning. Patch reefs were composed
of a combination of live and dead Pocillopora damicornis, a
bushy hard coral. A fine mesh cage was placed over the
patch reef for 40–60 min to prevent predation during
acclimation to their new habitat.
(c) Behavioural assessment
Following acclimation, the behaviour of fish was quantified for
3 min following previously developed protocols [17,28,33,34].
Briefly, the behaviour of each fish was assessed by a scuba
diver positioned approximately 1 m away from the patch. A
magnifying glass (4 ) aided the assessment of bite rates and
space use over the 3 min focal animal sampling period for
each fish. Four aspects of activity and behaviour were assessed:
(i) bite rate; (ii) total distance moved (cm); (iii) maximum
distance ventured from the habitat patch (cm); and (iv) boldness
(recorded as a variable on a continuous scale from 0 to 3,
where 0 was hiding in hole and seldom emerging; 1 was
retreating to a hole when scared and taking more than 5 s to
re-emerge, weakly or tentatively striking at food; 2 was
shying to shelter when scared but quickly emerging, with purposeful
strikes at food; and 3 was not hiding when scared,
exploring around the coral patch and striking aggressively at
food). At the end of the 3 min observation period, the fish
were approached with a pencil, and the fish’s reaction and
latency to emerge from shelter was taken into account in the
assessment of boldness. This measure of boldness has been
found to be repeatable between observers, consistent in the
short term for newly settled damselfish and related to survival
in the field ([17]; M. I. McCormick 2009, unpublished data).",102,9.962222,4.654871926,0.460901,NA,103,5.763177,4.662370338,0.459397,NA,,,,,,,positive,no,"Lonnstedt, O.; McCormick, M. (2018). Role of predator experience in influencing prey behaviour and survival - dataset. James Cook University. (dataset). http://dx.doi.org/10.4225/28/5a67dd4ea9254 (sheet 3)",table,,,
299,CD646,EG215,EX267,ES1721,Mestre,2012,Behavioral Ecology,Erigone dentipalpis,Erigone dentipalpis,arachnid,lab,lab,mixed,both,Breeding dispersal,Breeding dispersal,Breeding dispersal,Breeding dispersal,Breeding dispersal,continuous,"yes (longevity, fecundity, maturation time)","The treatments well fed or poorly
fed constituted the provisioning of either 50 or 3 springtails
once a week. On maturation, we mated F1 adults within the
same feeding treatment group (42 well-fed and 56 poorly-fed
adults) to produce the F2 generation and kept the females with
their assigned feeding regime until death. We avoided inbreeding
in the F2 generation by mating spiders born to different
mothers (non-sib matings). The spiders of the F2 generation
came from 14 F1 mothers, 7 from each feeding treatment. The
F2 offspring of the 2 groups were split in the same 2 feeding
regimes, and they were raised until maturity.",no,adult,unknown,dispersal,ballooning probabilty,dispersalmigration,proportion (treatment level),no,"We tested F2 adults for their dispersal propensity 1–2 days after reaching adulthood. From F1 poorly fed mothers, we tested 44 well-fed and 55 poorly fed adult offspring. From F1 well-fed mothers, we tested 129 well-fed and 82 poorly fed adult offspring. To conduct dispersal tests, we transferred the spiders to a climatic chamber at a temperature of 28 6 2  C and RH = 30%. The testing platform had 4 upright wooden sticks and was placed in a water bath to prevent spiders from escaping by walking. Two fans produced an upward air current with an average velocity of 1 ms21 ideal for eliciting dispersal. We tested the spiders in pairs chosen at random. For a period of 10 min, we registered the dispersal mode (rappelling or ballooning) of each individual (for more information, seeBonte, Lukac, et al. 2008).",137,0.186350066,0.393876667,0.033651155,NA,173,0.043805336,0.189445897,0.014403305,NA,,,,,,,positive,yes,Figure 2B,figure,exclude_lncvr,group level proportional data,ManipDuration taken from average development time between treatments +1.5 days
30,CD123,EG033B,EX039B,ES0223,Cloarec,1990,Animal Behaviour,Diplonychus indicus,Diplonychus indicus,insect,mixed,lab,male,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",continuous,unknown,"three main treatments: hunger level (starved for 24 h, or well-fed subjects); the presence or absence of prey; and the presence or absence of perching sites other than the sides of the experimental container.",no,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",novel environment,duration of swimming behaviour,novelenvironment_activity,sec,no,"with prey present (perch environment), movement and hunting behaviour in an experimental arena",10,7.6,0.8,,NA,10,7,0.7,,NA,,,,,,,positive,no,Table 2,table,,,"originally combines across perch and non-perch novel environments, but as these are different types of novel environment, and not pre-treatments) the effect sizes have been extracted separately"
31,CD123,EG033A,EX039A,ES0209,Cloarec,1990,Animal Behaviour,Diplonychus indicus,Diplonychus indicus,insect,mixed,lab,male,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",continuous,unknown,"three main treatments: hunger level (starved for 24 h, or well-fed subjects); the presence or absence of prey; and the presence or absence of perching sites other than the sides of the experimental container.",no,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",novel environment,time spent inactive (surface),novelenvironment_activity,sec,no,"with prey present (non-perch environment), movement and hunting behaviour in an experimental arena",10,30.9,2.6,,NA,10,39.4,3.6,,NA,,,,,,,negative,no,Table 2,table,,,"originally combines across perch and non-perch novel environments, but as these are different types of novel environment, and not pre-treatments) the effect sizes have been extracted separately"
38,CD123,EG033A,EX039A,ES0210,Cloarec,1990,Animal Behaviour,Diplonychus indicus,Diplonychus indicus,insect,mixed,lab,male,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",continuous,unknown,"three main treatments: hunger level (starved for 24 h, or well-fed subjects); the presence or absence of prey; and the presence or absence of perching sites other than the sides of the experimental container.",no,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",novel environment,time spent inactive (underwater),novelenvironment_activity,sec,no,"with prey present (non-perch environment), movement and hunting behaviour in an experimental arena",10,26.1,5.7,,NA,10,43.4,4.9,,NA,,,,,,,negative,no,Table 2,table,,,"originally combines across perch and non-perch novel environments, but as these are different types of novel environment, and not pre-treatments) the effect sizes have been extracted separately"
39,CD123,EG033B,EX039B,ES0224,Cloarec,1990,Animal Behaviour,Diplonychus indicus,Diplonychus indicus,insect,mixed,lab,male,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",continuous,unknown,"three main treatments: hunger level (starved for 24 h, or well-fed subjects); the presence or absence of prey; and the presence or absence of perching sites other than the sides of the experimental container.",no,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",novel environment,duration of dives,novelenvironment_activity,sec,no,"with prey present (perch environment), movement and hunting behaviour in an experimental arena",10,5.1,0.4,,NA,10,4.4,0.4,,NA,,,,,,,positive,no,Table 2,table,,,"originally combines across perch and non-perch novel environments, but as these are different types of novel environment, and not pre-treatments) the effect sizes have been extracted separately"
41,CD123,EG033B,EX039B,ES0221,Cloarec,1990,Animal Behaviour,Diplonychus indicus,Diplonychus indicus,insect,mixed,lab,male,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",continuous,unknown,"three main treatments: hunger level (starved for 24 h, or well-fed subjects); the presence or absence of prey; and the presence or absence of perching sites other than the sides of the experimental container.",no,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",novel environment,time spent inactive (surface),novelenvironment_activity,sec,no,"with prey present (perch environment), movement and hunting behaviour in an experimental arena",10,46.2,5.8,,NA,10,58.7,5.5,,NA,,,,,,,negative,no,Table 2,table,,,"originally combines across perch and non-perch novel environments, but as these are different types of novel environment, and not pre-treatments) the effect sizes have been extracted separately"
44,CD123,EG033A,EX039A,ES0211,Cloarec,1990,Animal Behaviour,Diplonychus indicus,Diplonychus indicus,insect,mixed,lab,male,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",continuous,unknown,"three main treatments: hunger level (starved for 24 h, or well-fed subjects); the presence or absence of prey; and the presence or absence of perching sites other than the sides of the experimental container.",no,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",novel environment,duration of swimming behaviour,novelenvironment_activity,sec,no,"with prey present (non-perch environment), movement and hunting behaviour in an experimental arena",10,15.7,0.6,,NA,10,14.4,0.5,,NA,,,,,,,positive,no,Table 2,table,,,"originally combines across perch and non-perch novel environments, but as these are different types of novel environment, and not pre-treatments) the effect sizes have been extracted separately"
45,CD123,EG033B,EX039B,ES0222,Cloarec,1990,Animal Behaviour,Diplonychus indicus,Diplonychus indicus,insect,mixed,lab,male,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",continuous,unknown,"three main treatments: hunger level (starved for 24 h, or well-fed subjects); the presence or absence of prey; and the presence or absence of perching sites other than the sides of the experimental container.",no,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",novel environment,time spent inactive (underwater),novelenvironment_activity,sec,no,"with prey present (perch environment), movement and hunting behaviour in an experimental arena",10,41.2,4,,NA,10,44.1,4.8,,NA,,,,,,,negative,no,Table 2,table,,,"originally combines across perch and non-perch novel environments, but as these are different types of novel environment, and not pre-treatments) the effect sizes have been extracted separately"
49,CD123,EG032A,EX038A,ES0190,Cloarec,1990,Animal Behaviour,Diplonychus indicus,Diplonychus indicus,insect,mixed,lab,male,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",continuous,unknown,"three main treatments: hunger level (starved for 24 h, or well-fed subjects); the presence or absence of prey; and the presence or absence of perching sites other than the sides of the experimental container.",no,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",novel environment,time spent inactive (surface),novelenvironment_activity,sec,no,"no prey present (non-perch environment), movement and hunting behaviour in an experimental arena",10,37.4,3.7,,NA,10,47.5,5.1,,NA,,,,,,,negative,no,Table 2,table,,,"originally combines across perch and non-perch novel environments, but as these are different types of novel environment, and not pre-treatments) the effect sizes have been extracted separately"
51,CD123,EG032B,EX038B,ES0200,Cloarec,1990,Animal Behaviour,Diplonychus indicus,Diplonychus indicus,insect,mixed,lab,male,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",continuous,unknown,"three main treatments: hunger level (starved for 24 h, or well-fed subjects); the presence or absence of prey; and the presence or absence of perching sites other than the sides of the experimental container.",no,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",novel environment,time spent inactive (underwater),novelenvironment_activity,sec,no,"no prey present (perch environment), movement and hunting behaviour in an experimental arena",10,71.8,6.4,,NA,10,85.7,6.9,,NA,,,,,,,negative,no,Table 2,table,,,"originally combines across perch and non-perch novel environments, but as these are different types of novel environment, and not pre-treatments) the effect sizes have been extracted separately"
54,CD123,EG032A,EX038A,ES0192,Cloarec,1990,Animal Behaviour,Diplonychus indicus,Diplonychus indicus,insect,mixed,lab,male,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",continuous,unknown,"three main treatments: hunger level (starved for 24 h, or well-fed subjects); the presence or absence of prey; and the presence or absence of perching sites other than the sides of the experimental container.",no,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",novel environment,duration of dives,novelenvironment_activity,sec,no,"no prey present (non-perch environment), movement and hunting behaviour in an experimental arena",10,5.1,1.1,,NA,10,3.4,0.4,,NA,,,,,,,positive,no,Table 2,table,,,"originally combines across perch and non-perch novel environments, but as these are different types of novel environment, and not pre-treatments) the effect sizes have been extracted separately"
