"","StudyID","GroupID","ExperimentID","EffectID","Author","Year","Journal","SpeciesCom","SpeciesSci","Class","WildLabRear","WildLabExp","Sex","ManipLifeStage","ManipLifeStage.","ManipType","ManipDirection","ManipDuration","ManipOffset","ManipPostDiet","ManipConditionEffect","ManipNotes","ManipGroups","ExpLifeStage","ExpAge","ExpType","ExpVar","RiskContext","ExpVarUnit","ExpRepeated","ExpNotes","nLC","meanLC","sdLC","seLC","CILC","nHC","meanHC","sdHC","seHC","CIHC","TestStatType","TestStatValue","df","P","RiskEffectDirection","Marginalised","DataLocation","DataPresentation","Exclude","ExclusionReason","Extraction.notes"
"269","CD160","EG038","EX043","ES0269","Dicke","2000","Journal of Chemical Ecology","Phytoseiulus persimilis","Phytoseiulus persimilis","arachnid","lab","lab","female","adult","Unless stated otherwise, all predators used in the olfactometer were well-fed adult females","starvation","restrict",0.083333333,0,"continuous","unknown","For starvation, adult female predators were randomly collected from the populations and indvidiaully placed in an Eppendorf vial for 1–3 hr. ","no","adult","unknown","novel environment","percetage responding to food stimulus within trial time","novelenvironment_feeding","proportion (treatment level)","no","Predatory mites were released individually ino the olfactometer on the iron wire that was positioned in the center of the glass tube. They were observed until they reached the end of one of the olfactometer arms. Predators that did not make a choice within 5 min were classified under “no-choice.”","40","1","0","",NA,"40","1","0","",NA,"","","","","positive","no","Text, pp1507","text","exclude_all","data cannot be used to calculate an effect size","calculated as the proportion of individuals making a choice"
"270","CD160","EG038","EX043","ES0270","Dicke","2000","Journal of Chemical Ecology","Phytoseiulus persimilis","Phytoseiulus persimilis","arachnid","lab","lab","female","adult","Unless stated otherwise, all predators used in the olfactometer were well-fed adult females","starvation","restrict",0.083333333,0,"continuous","unknown","For starvation, adult female predators were randomly collected from the populations and indvidiaully placed in an Eppendorf vial for 1–3 hr. ","no","adult","unknown","novel environment","percetage responding to food stimulus within trial time","novelenvironment_feeding","proportion (treatment level)","no","Predatory mites were released individually ino the olfactometer on the iron wire that was positioned in the center of the glass tube. They were observed until they reached the end of one of the olfactometer arms. Predators that did not make a choice within 5 min were classified under “no-choice.”","40","0.975","0.024685522","",NA,"40","0.625","0.076546554","",NA,"","","","","positive","no","Text, pp1507","text","exclude_lncvr","group level proportional data","calculated as the proportion of individuals making a choice"
"271","CD161","EG039","EX044","ES0271","Dill","1997","Behavioral Ecology","calcareous tubeworm","Serpula vermicularis","polychaete","wild","lab","unknown","unknown","These worms live in calcareous tubes of their own construction, cemented to rocks in lower intertidal and subtidal habitats, virtually throughout the world. Individuals dt at the mouths of their tubes, filtering small particles from the seawater with a bilobed fan, which is susceptible to being nipped by small fishes and perhaps crabs (maybe can identify the life stage from this)","quantity","restrict",5,2,"starvation","unknown","For the 5 days before tests, the worms were fed 10 ml of algal suspension daily (Figure 3). A 2-day period without food (but with daily water changes) then ensued (5-6 September). During the first 5-day test period (7-11 September), four tanks received 25 ml of algal suspension daily; the other 4 tanks received 5 mL This was followed by another 2-day period without feeding (but with water changes), intended to dear the worms' guts and equalize hunger levels. ","no","unknown","unknown","predator response","latency to emerge","predation_response","sec","yes","We produced a consistent, repeatable fright stimulus using a solenoid relay from an automobile starter, mounted on a plexiglass hanger dipped onto the side of each tank. The solenoids could be triggered at will by means of a 12-V battery, producing a single, strong vibration in the tank and fanning most worms to withdraw into their tubes.... We calculated mean hiding times for individual worms, tanks, ","21","187.2","108.1487864","23.6",NA,"22","223.6","189.0237551","40.3",NA,"","","","","negative","no","Table 2","table","","",""
"272","CD164","EG225","EX281","ES0272","Dmitriew","2005","Oecologia","eastern forktail","Ischnura verticalis","insect","wild","lab","unknown","juvenile","larvae","quantity","restrict",28,116,"control","yes (growth, development)","The damselflies were randomly divided into two equal groups for the preobservation food ration treatment on 19 October, and the temperature was raised to 18°C to stimulate foraging. Over a 4-week period, the first group (high food, n=88) was fed daily ad libitum and the second group (low food, n=89) was fed ad libitum every fourth day. In the latter treatment, excess daphnia were removed 24 h after they were added.","no","juvenile","unknown","foraging under predation risk","PC (associated with orienting, striking, advancing on prey)","predation_feeding","unknown","no","Foraging behaviour for a subset of the larvae was observed over a 1-week period (10–16 March) by a single observer. The experimental design consisted of a 2×2 factorial design (previous food level by predation): (1) high food, predator (n=19); (2) high food, no predator (n=22); (3) low food, predator (n=18); and (4) low food, no predator (n=20). Larvae were observed for a 15-min period, and observations were alternated between larvae from each of the four treatments to eliminate any confounding time-of-day effects. As per Johansson and Rowe (1999), the behaviours noted included “orient” (orientation towards a prey item with no leg movement),
“advance” (movement of one or more legs in the direction of a prey item), “strike” (rapid extension of the labium in the direction of a prey item) and “capture” (successful capture of a prey item).","18","-0.435810811","1.246992364","0.293918919",NA,"19","-0.461148649","1.369518925","0.314189189",NA,"","","","","positive","no","Figure 2","figure","exclude_lnrr","non-ratio scale variable",""
"279","CD170","EG226","EX282","ES0279","Dossman","2018","Auk","American redstart","Setophaga ruticilla","bird","wild","wild","male","adult","Fourteen after-second-year (adult) male birds were captured using 3–9 mist nets","quantity","restrict",5,0,"natural","yes (body mass)","Individuals from the control group were given a mix of 25–30 g of mealworms (Tenebrio molitor) and wax worms (Galleria mellonella) daily and fully recovered body mass over the 5-day period. The treatment group (i.e. foodrestricted) was allotted a base amount of 15 g of mealworms and wax worms, which was augmented by 5 g as necessary (based on that day’s weigh-in) to maintain the 10% reduction from initial body weight.","no","adult","after-second-year","dispersal/migration","stopover duration","dispersalmigration","days","no","Upon release, all focal individuals were tagged with 0.29 g coded radio transmitters (model NTBQ-1; Lotek Wireless, Newmarket, Ontario, Canada) fitted with a legloop harness (Rappole and Tipton 1991). All birds were released at the site of capture 30 min before sunrise on the last day of the experiment (day 5) and at the site of capture (within 100 m). Departure time was estimated as the time (6 pulse interval of the transmitters, ~8 s)atwhich signal
strength peaked immediately prior to a rapid decline in signal strength and the eventual loss of a detectable signal (Taylor et al. 2011, Dossman et al. 2016)","7","111.2","21.2","",NA,"7","60.9","14.9","",NA,"","","","","negative","no","Text, pp96","text","","","Departing faster is considered more risky, as due to trade off between obtained adequate resources for journey and the reproductive benefits of arriving faster and  ""This represented a biologically meaningful delay in migratory timing, given that American Redstarts that arrive 1 wk late on the breeding grounds experience a substantial reduction in reproduction (Norris et al. 2004, Reudink et al. 2009)."""
"280","CD171","EG040","EX045","ES0280","Dowling","2002","Canadian Journal of Zoology","banded killifish","Fundulus diaphanus","ray-finned fish","wild","lab","unknown","unknown","three different size classes (small: 35.0 ± 0.4 mm total length (mean ± SE); medium: 65.8 ± 0.5 mm; large: 89.6 ± 0.5 mm)","starvation","restrict",1,0,"continuous","unknown","There were also two nutritional-state treatments, satiated (fish fed 30 min before the trial) and food-deprived (last fed 24 h before the trial), ","no","unknown","three different size classes (small: 35.0 ± 0.4 mm total length (mean ± SE); medium: 65.8 ± 0.5 mm; large: 89.6 ± 0.5 mm)","predator response","latency to emerge","predation_response","sec","no","We initiated an “attack” on the test fish within 30 s of when it began feeding and was either directly underneath or to the side of the food patch and facing or broadside to the model at the initiation of the attack. Most (92.0%) test fish fled into the refuge after being attacked by either model; if the attacked fish did not swim into the refuge, the trial was terminated and the fish excluded from the data analysis. Once the fish entered the refuge after being attacked, we recorded latency of emergence from the refuge (i.e., time that the fish spent in the refuge before its first exit). Exit from the refuge was noted to have occurred when the fish’s entire body was outside of the refuge and in the open-habitat area (Fig. 1).","12-17 times per treatment (187 total)","","","",NA,"12-17 times per treatment (187 total)","","","",NA,"F","0.03","158","0.87","negative","no","Text, pp785","text","exclude_all","insufficient data available","all groups combined"
"285","CD180","EG050","EX055","ES0285","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quantity","restrict",63,0,"continuous","yes (growth, physiology)","67% of ad libitum","control_HC3","juvenile","approx 28 weeks","novel object","time to first approach","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","8","12.5","2.658409836","0.939889811",NA,"8","10.4","2.39642591","0.847264506",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"286","CD180","EG050","EX055","ES0286","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quality","restrict",63,0,"continuous","yes (growth, physiology)","13% v 3% protein","control_HC3","juvenile","approx 28 weeks","novel object","time to first approach","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","7","12.44285714","3.810667983","1.440297116",NA,"8","10.4","2.39642591","0.847264506",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"287","CD180","EG050","EX055","ES0287","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","combined","restrict",63,0,"continuous","yes (growth, physiology)","above 2 combined","control_HC3","juvenile","approx 28 weeks","novel object","time to first approach","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","8","13.4","2.661363775","0.940934186",NA,"8","10.4","2.39642591","0.847264506",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"288","CD180","EG050","EX055","ES0288","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quantity","restrict",63,0,"continuous","yes (growth, physiology)","67% of ad libitum","control_HC3","juvenile","approx 28 weeks","novel object","time to consistent approach","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","8","14.65","2.088403355","0.738362087",NA,"8","11.6","3.609511245","1.276154939",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"289","CD180","EG050","EX055","ES0289","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quality","restrict",63,0,"continuous","yes (growth, physiology)","13% v 3% protein","control_HC3","juvenile","approx 28 weeks","novel object","time to consistent approach","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","7","17.12857143","7.746012799","2.927717646",NA,"8","11.6","3.609511245","1.276154939",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"290","CD180","EG050","EX055","ES0290","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","combined","restrict",63,0,"continuous","yes (growth, physiology)","above 2 combined","control_HC3","juvenile","approx 28 weeks","novel object","time to consistent approach","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","8","18.15","6.058995673","2.142178464",NA,"8","11.6","3.609511245","1.276154939",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"291","CD180","EG050","EX055","ES0291","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quantity","restrict",63,0,"continuous","yes (growth, physiology)","67% of ad libitum","control_HC3","juvenile","approx 28 weeks","novel object","time to first touch","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","8","13.6","2.946668821","1.041804753",NA,"8","11.55","2.88394571","1.019628784",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"292","CD180","EG050","EX055","ES0292","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quality","restrict",63,0,"continuous","yes (growth, physiology)","13% v 3% protein","control_HC3","juvenile","approx 28 weeks","novel object","time to first touch","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","7","14.47142857","3.95335903","1.494229262",NA,"8","11.55","2.88394571","1.019628784",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"293","CD180","EG050","EX055","ES0293","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","combined","restrict",63,0,"continuous","yes (growth, physiology)","above 2 combined","control_HC3","juvenile","approx 28 weeks","novel object","time to first touch","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","8","14.3","4.252730215","1.503567187",NA,"8","11.55","2.88394571","1.019628784",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"294","CD180","EG050","EX055","ES0294","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quantity","restrict",63,0,"continuous","yes (growth, physiology)","67% of ad libitum","control_HC3","juvenile","approx 28 weeks","novel object","time to consistent touch","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","8","15.8","2.627328899","0.92890104",NA,"8","12.75","3.528253311","1.247425921",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"295","CD180","EG050","EX055","ES0295","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quality","restrict",63,0,"continuous","yes (growth, physiology)","13% v 3% protein","control_HC3","juvenile","approx 28 weeks","novel object","time to consistent touch","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","7","17.74285714","6.745209941","2.549449721",NA,"8","12.75","3.528253311","1.247425921",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"296","CD180","EG050","EX055","ES0296","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","combined","restrict",63,0,"continuous","yes (growth, physiology)","above 2 combined","control_HC3","juvenile","approx 28 weeks","novel object","time to consistent touch","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","8","20.4","5.870994075","2.075709861",NA,"8","12.75","3.528253311","1.247425921",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"297","CD180","EG050","EX055","ES0297","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quantity","restrict",63,0,"continuous","yes (growth, physiology)","67% of ad libitum","control_HC3","juvenile","approx 28 weeks","novel object","time to first grasp","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","8","18.8","2.826153368","0.999196105",NA,"8","14.55","5.12877039","1.813294161",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"298","CD180","EG050","EX055","ES0298","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quality","restrict",63,0,"continuous","yes (growth, physiology)","13% v 3% protein","control_HC3","juvenile","approx 28 weeks","novel object","time to first grasp","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","7","19.12857143","5.063007764","1.913637061",NA,"8","14.55","5.12877039","1.813294161",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"299","CD180","EG050","EX055","ES0299","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","combined","restrict",63,0,"continuous","yes (growth, physiology)","above 2 combined","control_HC3","juvenile","approx 28 weeks","novel object","time to first grasp","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","8","21.9","4.511255764","1.594969771",NA,"8","14.55","5.12877039","1.813294161",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"300","CD180","EG050","EX055","ES0300","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quantity","restrict",63,0,"continuous","yes (growth, physiology)","67% of ad libitum","control_HC3","juvenile","approx 28 weeks","novel object","time to consistent grasp","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","8","19.75","3.608323711","1.275735082",NA,"8","15.55","5.274195944","1.864709859",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"301","CD180","EG050","EX055","ES0301","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quality","restrict",63,0,"continuous","yes (growth, physiology)","13% v 3% protein","control_HC3","juvenile","approx 28 weeks","novel object","time to consistent grasp","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","7","19.98571429","5.926192868","2.239890364",NA,"8","15.55","5.274195944","1.864709859",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"302","CD180","EG050","EX055","ES0302","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","combined","restrict",63,0,"continuous","yes (growth, physiology)","above 2 combined","control_HC3","juvenile","approx 28 weeks","novel object","time to consistent grasp","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","8","23.3","4.301162634","1.520690633",NA,"8","15.55","5.274195944","1.864709859",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"303","CD180","EG050","EX055","ES0303","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quantity","restrict",63,0,"continuous","yes (growth, physiology)","67% of ad libitum","control_HC3","juvenile","approx 28 weeks","novel object","time to touch connecting string","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","8","18.8","2.110856292","0.746300399",NA,"8","20.4","3.903844259","1.380217374",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"304","CD180","EG050","EX055","ES0304","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quality","restrict",63,0,"continuous","yes (growth, physiology)","13% v 3% protein","control_HC3","juvenile","approx 28 weeks","novel object","time to touch connecting string","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","7","22.74285714","4.089766555","1.545786461",NA,"8","20.4","3.903844259","1.380217374",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"305","CD180","EG050","EX055","ES0305","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","combined","restrict",63,0,"continuous","yes (growth, physiology)","above 2 combined","control_HC3","juvenile","approx 28 weeks","novel object","time to touch connecting string","novelobject_response","weeks","no","a novel object regularly presented to individuals in home cage, age at first behaviours recorded","8","23.9","3.339375476","1.180647522",NA,"8","20.4","3.903844259","1.380217374",NA,"","","","","positive","yes","Table 2","table","","","measurements continuous from week 8 to week 26, so midpoint used for ManipDuration"
"306","CD180","EG050","EX056","ES0306","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quantity","restrict",133,0,"continuous","yes (growth, physiology)","67% of ad libitum","control_HC3","juvenile","approx 28 weeks","novel environment","time spent in novel cage","novelenvironment_exploration","minutes","no","a novel area attached to home enclosure, time spent in novel area monitored","8","3.15","2.783625591","0.984160266",NA,"8","7.2","5.319237324","1.880634391",NA,"","","","","positive","yes","Table 3","table","","","week 26 to 28 so ManipDuration for 27 weeks used"
"307","CD180","EG050","EX056","ES0307","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quality","restrict",133,0,"continuous","yes (growth, physiology)","13% v 3% protein","control_HC3","juvenile","approx 28 weeks","novel environment","time spent in novel cage","novelenvironment_exploration","minutes","no","a novel area attached to home enclosure, time spent in novel area monitored","7","5.085714286","3.869293033","1.462455302",NA,"8","7.2","5.319237324","1.880634391",NA,"","","","","positive","yes","Table 3","table","","","week 26 to 28 so ManipDuration for 27 weeks used"
"308","CD180","EG050","EX056","ES0308","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","combined","restrict",133,0,"continuous","yes (growth, physiology)","above 2 combined","control_HC3","juvenile","approx 28 weeks","novel environment","time spent in novel cage","novelenvironment_exploration","minutes","no","a novel area attached to home enclosure, time spent in novel area monitored","8","2.2","3.116316507","1.101784267",NA,"8","7.2","5.319237324","1.880634391",NA,"","","","","positive","yes","Table 3","table","","","week 26 to 28 so ManipDuration for 27 weeks used"
"309","CD180","EG050","EX057","ES0309","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quantity","restrict",133,0,"continuous","yes (growth, physiology)","67% of ad libitum","control_HC3","juvenile","approx 28 weeks","novel environment","activity","novelenvironment_activity","log (boundary crossings)","no","individuals in novel enclosure (wire tower), activity monitored in movement between zones","8","0.95","1.100649159","0.389138242",NA,"8","1.25","1.114194135","0.393927114",NA,"","","","","positive","yes","Table 3","table","","","week 26 to 28 so ManipDuration for 27 weeks used"
"310","CD180","EG050","EX057","ES0310","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quality","restrict",133,0,"continuous","yes (growth, physiology)","13% v 3% protein","control_HC3","juvenile","approx 28 weeks","novel environment","activity","novelenvironment_activity","log (boundary crossings)","no","individuals in novel enclosure (wire tower), activity monitored in movement between zones","7","1.028571429","1.025043553","0.387430046",NA,"8","1.25","1.114194135","0.393927114",NA,"","","","","positive","yes","Table 3","table","","","week 26 to 28 so ManipDuration for 27 weeks used"
"311","CD180","EG050","EX057","ES0311","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","combined","restrict",133,0,"continuous","yes (growth, physiology)","above 2 combined","control_HC3","juvenile","approx 28 weeks","novel environment","activity","novelenvironment_activity","log (boundary crossings)","no","individuals in novel enclosure (wire tower), activity monitored in movement between zones","8","0.65","0.954687683","0.337533067",NA,"8","1.25","1.114194135","0.393927114",NA,"","","","","positive","yes","Table 3","table","","","week 26 to 28 so ManipDuration for 27 weeks used"
"312","CD180","EG050","EX056","ES0312","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quantity","restrict",140,175,"control","yes (growth, physiology)","67% of ad libitum","control_HC3","juvenile","approx 28 weeks","novel environment","time spent in novel cage","novelenvironment_exploration","minutes","no","a novel area attached to home enclosure, time spent in novel area monitored","8","6.45","3.39915956","1.201784388",NA,"8","4.85","4.839126249","1.710889493",NA,"","","","","positive","yes","Table 4","table","","","week 52 to 54 so ManipOffset for midpoint used"
"313","CD180","EG050","EX056","ES0313","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quality","restrict",140,175,"control","yes (growth, physiology)","13% v 3% protein","control_HC3","juvenile","approx 28 weeks","novel environment","time spent in novel cage","novelenvironment_exploration","minutes","no","a novel area attached to home enclosure, time spent in novel area monitored","6","6.5","1.432480366","0.584807661",NA,"8","4.85","4.839126249","1.710889493",NA,"","","","","positive","yes","Table 4","table","","","week 52 to 54 so ManipOffset for midpoint used"
"314","CD180","EG050","EX056","ES0314","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","combined","restrict",140,175,"control","yes (growth, physiology)","above 2 combined","control_HC3","juvenile","approx 28 weeks","novel environment","time spent in novel cage","novelenvironment_exploration","minutes","no","a novel area attached to home enclosure, time spent in novel area monitored","8","1.1","2.237026087","0.790908158",NA,"8","4.85","4.839126249","1.710889493",NA,"","","","","positive","yes","Table 4","table","","","week 52 to 54 so ManipOffset for midpoint used"
"315","CD180","EG050","EX057","ES0315","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quantity","restrict",140,175,"control","yes (growth, physiology)","67% of ad libitum","","juvenile","approx 28 weeks","novel environment","activity","novelenvironment_activity","log (boundary crossings)","no","individuals in novel enclosure (wire tower), activity monitored in movement between zones","8","1.55","0.815037247","0.288159182",NA,"8","1.6","1.065698966","0.376781483",NA,"","","","","positive","yes","Table 4","table","","","week 52 to 54 so ManipOffset for midpoint used"
"316","CD180","EG050","EX057","ES0316","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","quality","restrict",140,175,"control","yes (growth, physiology)","13% v 3% protein","control_HC3","juvenile","approx 28 weeks","novel environment","activity","novelenvironment_activity","log (boundary crossings)","no","individuals in novel enclosure (wire tower), activity monitored in movement between zones","6","1.95","0.450555213","0.183938395",NA,"8","1.6","1.065698966","0.376781483",NA,"","","","","positive","yes","Table 4","table","","","week 52 to 54 so ManipOffset for midpoint used"
"317","CD180","EG050","EX057","ES0317","Elias","1977","American Journal of Clinical Nutrition","white-fronted capuchin; tufted capuchin","Cebus albifrons; Cebus apella","mammal","lab","lab","mixed","juvenile","8 to 28 weeks","combined","restrict",140,175,"control","yes (growth, physiology)","above 2 combined","control_HC3","juvenile","approx 28 weeks","novel environment","activity","novelenvironment_activity","log (boundary crossings)","no","individuals in novel enclosure (wire tower), activity monitored in movement between zones","8","1.45","0.756873267","0.26759511",NA,"8","1.6","1.065698966","0.376781483",NA,"","","","","positive","yes","Table 4","table","","","week 52 to 54 so ManipOffset for midpoint used"
